r,epochs,batch_size,val_accuracy,val_f1,training_time
16,10,16,0.878,0.8765029931086198,214.31607103347778
8,10,16,0.874,0.8726681398565088,209.862872838974
16,10,32,0.866,0.864500662926866,217.86700105667114
8,10,32,0.854,0.8536969217425187,220.51117825508118
2,10,32,0.838,0.8366986124732121,218.85368371009827
16,5,16,0.828,0.8236634043977813,118.04809308052063
8,5,16,0.826,0.8246793646223595,98.92741847038269
2,10,16,0.824,0.8224100089565607,224.85982251167297
8,5,32,0.784,0.7760063097319578,107.84341311454773
16,5,32,0.78,0.7702342056206211,116.59018349647522
2,5,32,0.764,0.7500494838261734,114.42390012741089
2,5,16,0.712,0.6746421967556868,137.06382060050964
